iter	Passed	Remaining
418	3294	4568
419	3299	4556
420	3305	4545
421	3310	4534
422	3315	4521
423	3319	4509
424	3324	4497
425	3328	4485
426	3332	4472
427	3337	4459
428	3341	4447
429	3345	4435
430	3350	4422
431	3354	4410
432	3358	4398
433	3363	4386
434	3367	4373
435	3372	4362
436	3376	4350
437	3380	4337
438	3385	4326
439	3389	4314
440	3393	4301
441	3398	4289
442	3403	4278
443	3407	4266
444	3411	4254
445	3415	4242
446	3420	4231
447	3424	4219
448	3429	4208
449	3434	4197
450	3438	4185
451	3443	4174
452	3447	4162
453	3452	4152
454	3456	4140
455	3460	4128
456	3465	4117
457	3469	4105
458	3473	4094
459	3477	4082
460	3482	4071
461	3486	4060
462	3492	4050
463	3498	4041
464	3502	4030
465	3507	4019
466	3511	4008
467	3516	3997
468	3520	3986
469	3525	3975
470	3529	3964
471	3533	3953
472	3538	3941
473	3542	3930
474	3547	3920
475	3552	3910
476	3556	3899
477	3561	3888
478	3565	3878
479	3570	3867
480	3574	3857
481	3579	3846
482	3583	3835
483	3587	3825
484	3592	3814
485	3597	3804
486	3601	3793
487	3605	3782
488	3609	3772
489	3613	3761
490	3617	3750
491	3622	3740
492	3627	3730
493	3631	3719
494	3635	3709
495	3640	3699
496	3644	3688
497	3649	3678
498	3653	3668
499	3658	3658
500	3662	3648
501	3667	3637
502	3674	3630
503	3683	3624
504	3695	3621
505	3702	3614
506	3710	3608
507	3718	3601
508	3724	3593
509	3731	3584
510	3737	3576
511	3742	3566
512	3747	3557
513	3754	3550
514	3761	3542
515	3767	3533
516	3772	3524
517	3777	3515
518	3782	3505
519	3787	3496
520	3792	3486
521	3796	3476
522	3801	3467
523	3806	3457
524	3810	3447
525	3815	3437
526	3819	3428
527	3826	3420
528	3832	3412
529	3836	3402
530	3841	3392
531	3845	3382
532	3849	3373
533	3854	3363
534	3858	3353
535	3863	3344
536	3868	3335
537	3873	3326
538	3877	3316
539	3883	3308
540	3888	3299
541	3893	3289
542	3898	3281
543	3902	3271
544	3907	3261
545	3911	3252
546	3915	3242
547	3919	3233
548	3924	3223
549	3929	3214
550	3933	3205
551	3938	3196
552	3944	3188
553	3948	3179
554	3953	3169
555	3957	3160
556	3962	3151
557	3966	3142
558	3971	3132
559	3975	3123
560	3980	3114
561	3984	3105
562	3988	3096
563	3993	3086
564	3997	3077
565	4001	3068
566	4006	3059
567	4010	3050
568	4015	3041
569	4019	3032
570	4024	3023
571	4028	3014
572	4033	3005
573	4037	2996
574	4042	2987
575	4046	2978
576	4050	2969
577	4055	2960
578	4059	2951
579	4063	2942
580	4068	2933
581	4073	2925
582	4078	2917
583	4082	2908
584	4087	2899
585	4092	2891
586	4096	2882
587	4101	2873
588	4105	2865
589	4110	2856
590	4114	2847
591	4119	2839
592	4124	2830
593	4128	2821
594	4132	2813
595	4138	2805
596	4142	2796
597	4147	2788
598	4153	2780
599	4158	2772
600	4162	2763
601	4169	2756
602	4173	2748
603	4180	2740
604	4184	2732
605	4189	2723
606	4193	2714
607	4198	2706
608	4202	2698
609	4206	2689
610	4211	2681
611	4219	2674
612	4224	2666
613	4228	2658
614	4233	2649
615	4237	2641
616	4241	2632
617	4246	2624
618	4250	2616
619	4254	2607
620	4259	2599
621	4264	2591
622	4268	2583
623	4274	2575
624	4279	2567
625	4283	2559
626	4288	2550
627	4293	2543
628	4297	2534
629	4301	2526
630	4305	2518
631	4310	2510
632	4315	2501
633	4319	2493
634	4324	2485
635	4329	2477
636	4333	2469
637	4337	2461
638	4342	2453
639	4347	2445
640	4351	2437
641	4355	2428
642	4360	2420
643	4364	2412
644	4368	2404
645	4373	2396
646	4377	2388
647	4382	2380
648	4386	2372
649	4391	2364
650	4395	2356
651	4399	2348
652	4403	2340
653	4408	2332
654	4412	2324
655	4417	2316
656	4421	2308
657	4426	2300
658	4430	2292
659	4434	2284
660	4439	2276
661	4443	2268
662	4447	2260
663	4452	2252
664	4456	2245
665	4461	2237
666	4465	2229
667	4470	2221
668	4474	2213
669	4478	2205
670	4483	2198
671	4487	2190
672	4491	2182
673	4495	2174
674	4500	2167
675	4505	2159
676	4510	2151
677	4515	2144
678	4519	2136
679	4524	2128
680	4528	2121
681	4532	2113
682	4539	2106
683	4545	2100
684	4553	2093
685	4559	2087
686	4581	2087
687	4589	2081
688	4599	2076
689	4618	2074
690	4628	2069
691	4636	2063
692	4647	2058
693	4660	2054
694	4667	2048
695	4679	2043
696	4688	2038
697	4697	2032
698	4703	2025
699	4709	2018
700	4713	2010
701	4722	2004
702	4726	1997
703	4731	1989
704	4737	1982
705	4744	1975
706	4749	1968
707	4755	1961
708	4761	1954
709	4767	1947
710	4774	1940
711	4779	1933
712	4784	1925
713	4789	1918
714	4794	1911
715	4800	1903
716	4805	1896
717	4809	1889
718	4814	1881
719	4820	1874
720	4824	1867
721	4829	1859
722	4835	1852
723	4839	1844
724	4843	1837
725	4849	1830
726	4853	1822
727	4858	1815
728	4862	1807
729	4867	1800
730	4871	1792
731	4876	1785
732	4882	1778
733	4886	1770
734	4891	1763
735	4897	1756
736	4901	1749
737	4906	1741
738	4911	1734
739	4916	1727
740	4920	1719
741	4924	1712
742	4930	1705
743	4934	1698
744	4939	1690
745	4945	1683
746	4949	1676
747	4954	1669
748	4960	1662
749	4964	1654
750	4969	1647
751	4975	1640
752	4979	1633
753	4984	1626
754	4988	1618
755	4994	1611
756	5001	1605
757	5008	1599
758	5013	1591
759	5017	1584
760	5023	1577
761	5027	1570
762	5031	1563
763	5036	1555
764	5042	1548
765	5046	1541
766	5051	1534
767	5057	1527
768	5061	1520
769	5065	1513
770	5070	1506
771	5075	1498
772	5079	1491
773	5084	1484
774	5090	1477
775	5094	1470
776	5098	1463
777	5104	1456
778	5108	1449
779	5113	1442
780	5121	1436
781	5129	1429
782	5140	1424
783	5145	1417
784	5152	1411
785	5157	1404
786	5161	1397
787	5168	1390
